key	status	assignee	updated	priority	fixVersion	summary
VMX-6380	New	jimmy.jy.huang	2025-12-10	2 - Medium	2025Q4	Distracted Driving - Smoking
VMX-6374	New	allen.yc.chung	2025-09-30	2 - Medium		IOSix dongle debug web page
VMX-6369	In Progress	joe.lien	2025-09-19	2 - Medium		[API 文件] 移除不再使用的event。
VMX-6348	New	simon.wu	2025-08-29	2 - Medium		Solid light indicates the camera is connected to the server/network, instead of flashing every 15 seconds
VMX-6343	Deferred	nell.chen	2025-09-02	2 - Medium		Indonesia MMF
VMX-6326	New	allen.yc.chung	2025-07-25	2 - Medium	CameraAPP_20251001_11.2.24.82	[IOSix] Debug log upload
VMX-6265	New	simon.wu	2025-08-29	2 - Medium		GPIO - RS232 Passthrough and Digital Binary Input Signal
VMX-6222	New	simon.wu	2025-09-03	2 - Medium		Adding earliest SD card file's timestamp to the device info API for easier access
VMX-6221	New	jay.qiu	2025-09-15	3 - Low		Survey AI Model Self-Training and Optimization System
VMX-6203	New	elvis.tran	2025-09-12	2 - Medium		Inward, UVC & Outward cameras unable to record video
VMX-6168	Open	joe.lien	2025-12-26	2 - Medium		Delete Fleet Account/Device data from the Master or Fleet Portal
VMX-6166	Deferred	nell.chen	2025-09-02	Gating		[MMF]OSM USA MMF v9801 install failed
VMX-6076	Open	spencer.su	2025-10-20	2 - Medium		Pop up notification on log in page for server outage
VMX-6040	New	neil.mercer	2025-09-05	2 - Medium		Storage status is Good but not reading the memory card and no video being recorded
VMX-6007	New	brian.chienlee	2026-01-07	2 - Medium		Downloading diagnostic report does not list Fleet/Owner Name & Improve report fields #145
VMX-5922	Deferred	nell.chen	2025-09-02	2 - Medium		TT AU Speed cam data - No redlight camera alerts
VMX-5915	New	eric.h	2026-05-04	2 - Medium		TT AU Speed cam data - Stop signs at traffic lights are being detected
VMX-5914	New	nell.chen	2026-05-01	2 - Medium		TT AU Speed cam data - school zones aren't timed and inaccurate
VMX-5909	New	eric.h	2026-05-06	2 - Medium		Add box around event to highlight event trigger #11
VMX-5908	Deferred	spencer.su	2025-09-05	2 - Medium		Contract fleet 的 Webhook 處理
VMX-5880	Pending	mori.jhang	2025-09-05	2 - Medium		[Install Tool] UVC在Dual Cameras SKU上搭載DMS功能
VMX-5879	New	eric.h	2025-07-15	2 - Medium		[Feasibility] Display AI debug view on VisionMax browser UI (#11)
VMX-5744	New	eric.h	2025-08-28	2 - Medium		event觸發時，上傳更多資訊以提升debug效率
VMX-2217	Inactive	christy.hu	2025-09-01	2 - Medium		English should be set as the default language of the webside
HAWK-587	New	brian.chienlee	2026-05-13	Normal		CALIBRATION COMPLETED notification (if active) delayed until first ADAS violation
HAWK-586	New	brian.chienlee	2026-05-13	2 - Medium		[Stop sign violation] Provide snapshot time
HAWK-585	New	leo.tsai	2026-05-13	2 - Medium	VisionMax_20260602	'Lens cover' detection not properly working
HAWK-584	New	neil.kuo	2026-05-12	2 - Medium	VisionMax_20260602	Error in assigning device to fleet
HAWK-583	New	Luchun.chen	2026-05-13	2 - Medium		Timezone (in MX) not correct
HAWK-582	Open	jieli.liu	2026-05-13	2 - Medium	VisionMax_20260602	Improve Lens cover detection design
HAWK-581	New	spencer.su	2026-05-06	1 - High		Deprecate Nested Set Model
HAWK-580	New	brian.chienlee	2026-05-05	2 - Medium		H.265 Support
HAWK-579	New	spencer.su	2026-05-13	2 - Medium		Camera Consuming High data
HAWK-574	New	eric.h	2026-05-06	1 - High		WEBFLEET Alpha Fleet Cameras Sporadically Looping "DMS Calibration Completed" Message
HAWK-573	New	chiehli.wang	2026-05-06	2 - Medium	VisionMax_20260602	Request event blurry not updating the content
HAWK-568	New	neil.kuo	2026-05-07	2 - Medium		Manual Upload Videos are stuck
HAWK-563	Open	spencer.su	2026-04-23	2 - Medium	VisionMax_20260602	Camera status discrepancy
HAWK-561	Open	spencer.su	2026-04-07	3 - Low		Please review TLS configuration
HAWK-559	New	allen.yc.chung	2026-05-13	1 - High		Device Rebooting for Error Fixing
HAWK-555	Deferred	daniel.kara	2026-04-22	2 - Medium		SD card rejected
HAWK-551	New	brian.chienlee	2026-05-06	2 - Medium	VisionMax_20260602	[CAM Lite] Inaccurate fatique detection --> new config to lower EyeStableRate threshold
HAWK-549	New	ruben.navarropiris	2026-03-17	2 - Medium		Increase precision of take-snapshot endpoint
HAWK-545	New	martin.rothe	2026-05-12	Gating		Mobile phone detection rates seems decreased a lot, sometimes it also seems negatively influenced by smoking
HAWK-544	New	olugbo.oniyide	2026-03-13	2 - Medium		Thumbnail events of type "lens covered" missing thumbnails when media is of snapshot
HAWK-541	New	joe.lien	2026-05-13	2 - Medium		Receiving Access Denied response when opening video URL
HAWK-539	New	shilendarb	2026-03-04	1 - High		K-265 Camera stopped working and not powering on
HAWK-535	New	allen.yc.chung	2026-05-08	2 - Medium		LiveStreaming not working
HAWK-532	New	mori.jhang	2026-04-29	2 - Medium		Length of videos are shown heavily increased (wrong length shown)
HAWK-528	New	sheron.lee	2026-05-13	2 - Medium		Camera stop recording randomly during trips
HAWK-519	New	daniel.kara	2026-05-08	2 - Medium		Recording missing
HAWK-514	New	harish.bolneni	2026-04-29	2 - Medium		Camera Triggering Violent Turn Events continuously
HAWK-511	New	Luchun.chen	2026-05-13	1 - High		Missing videos from aux cameras
HAWK-508	New	harish.bolneni	2026-04-29	2 - Medium		Livestream video missing
HAWK-502	New	jakob.mund	2026-04-16	1 - High		Changes to the privacy mode
HAWK-501	Open	eric.h	2026-05-13	1 - High	VisionMax_20260602	ADAS Self-calibration resolves wrong height resulting inacurate ADAS event detection
HAWK-498	New	allen.yc.chung	2026-05-11	Gating		Huge Amount of Unexpected Alert Button Events on WEBFLEET Production Cameras
HAWK-497	New	allen.yc.chung	2026-01-26	2 - Medium		Encryption key in meta data endpoint seem to be incorrect
HAWK-496	New	ruben.navarropiris	2026-05-06	2 - Medium		Wrong GPS timestamps (set in the future)
HAWK-489	New	harish.bolneni	2026-01-05	1 - High		Camera speed is not varying(showing same speed in videos)
HAWK-479	New	brian.chienlee	2026-01-09	2 - Medium		Debug Mode Disabled After App Updates / Debug overlay missing occasionally
HAWK-465	New	ruben.navarropiris	2026-05-12	2 - Medium		Event(s) with impossibly old timestamp
HAWK-441	New	allen.yc.chung	2026-03-02	2 - Medium		TVI Video stream stay black after last installation step
HAWK-428	New	eric.h	2025-10-29	2 - Medium		Stop sign violation - ignore when there are supplementary signs
HAWK-418	New	righter.song	2025-10-24	2 - Medium		Improve wording/texts for some translations of in-cab alerts
HAWK-417	New	righter.song	2025-10-24	2 - Medium		Add more languages for in-cab alerts
HAWK-416	New	righter.song	2025-12-30	2 - Medium		Improve audio/voice quality for in-cab alerts
HAWK-410	Deferred	allen.yc.chung	2025-12-08	1 - High		[Production Issue] - Blue lines on the Video
HAWK-401	New	allen.yc.chung	2026-05-12	Gating		Support proper DMS AI detection with low installation position
HAWK-398	Open	allen.yc.chung	2026-05-11	Gating		Cameras losing connectivity in African countries
HAWK-341	New	ruben.navarropiris	2026-05-11	1 - High		Strange bulk of old GPS signal data
HAWK-316	New	spencer.su	2026-05-04	3 - Low		Dynamic length for "Clip & Backup video to cloud storage" in VisionMaxFleet
HAWK-159	Deferred	sebastian.schneider.wf	2026-05-04	3 - Low		LiveStream: Response to selectCam command is sent before the stream has actually switched
